"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030178","BP","GO:0030178","negative regulation of Wnt signaling pathway","1/127","212/18862",0.763154259588951,0.812767353631996,0.755341842555215,"EMD",1
"GO:0050803","BP","GO:0050803","regulation of synapse structure or activity","1/127","214/18862",0.766369036517226,0.815759962272694,0.758123010517499,"WNT3A",1
"GO:0050808","BP","GO:0050808","synapse organization","2/127","412/18862",0.768877026437346,0.817997470048179,0.760202428740087,"WNT3A/UTRN",2
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","1/127","216/18862",0.769540517284557,0.818271315212867,0.760456925565464,"ATRX",1
"GO:0050769","BP","GO:0050769","positive regulation of neurogenesis","1/127","217/18862",0.771110202702602,0.819436105299806,0.761539418220376,"WNT3A",1
"GO:0043588","BP","GO:0043588","skin development","2/127","415/18862",0.772368765411494,0.819436105299806,0.761539418220376,"INTU/ROCK1",2
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis","2/127","415/18862",0.772368765411494,0.819436105299806,0.761539418220376,"PRKCB/MYSM1",2
"GO:0042445","BP","GO:0042445","hormone metabolic process","1/127","218/18862",0.772669280431578,0.819436105299806,0.761539418220376,"PLEKHA1",1
"GO:0071695","BP","GO:0071695","anatomical structure maturation","1/127","218/18862",0.772669280431578,0.819436105299806,0.761539418220376,"FAT4",1
"GO:0009743","BP","GO:0009743","response to carbohydrate","1/127","221/18862",0.777283576321944,0.823896058016159,0.765684256085018,"PRKCB",1
"GO:0033002","BP","GO:0033002","muscle cell proliferation","1/127","222/18862",0.778800929779758,0.825070385649954,0.766775612418059,"KPNA1",1
"GO:0051960","BP","GO:0051960","regulation of nervous system development","2/127","422/18862",0.780339334884407,0.82626576972784,0.767886537466803,"WNT3A/PAX6",2
"GO:0000302","BP","GO:0000302","response to reactive oxygen species","1/127","224/18862",0.781804935116002,0.827382848875391,0.768924690165507,"PLEKHA1",1
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","2/127","426/18862",0.784784360704037,0.830099993080648,0.771449856440106,"WNT3A/ROCK1",2
"GO:0010975","BP","GO:0010975","regulation of neuron projection development","2/127","428/18862",0.78697738409852,0.83198291131087,0.773199738394692,"LPAR1/WNT3A",2
"GO:0042593","BP","GO:0042593","glucose homeostasis","1/127","229/18862",0.789139034048255,0.833600790724611,0.774703307665709,"PAX6",1
"GO:0033500","BP","GO:0033500","carbohydrate homeostasis","1/127","230/18862",0.790576233783986,0.833600790724611,0.774703307665709,"PAX6",1
"GO:0044242","BP","GO:0044242","cellular lipid catabolic process","1/127","230/18862",0.790576233783986,0.833600790724611,0.774703307665709,"AKT2",1
"GO:0098657","BP","GO:0098657","import into cell","1/127","230/18862",0.790576233783986,0.833600790724611,0.774703307665709,"AKT2",1
"GO:2000116","BP","GO:2000116","regulation of cysteine-type endopeptidase activity","1/127","230/18862",0.790576233783986,0.833600790724611,0.774703307665709,"WNT3A",1
"GO:0071453","BP","GO:0071453","cellular response to oxygen levels","1/127","231/18862",0.792003714371654,0.83466918643247,0.775696216619232,"LPAR1",1
"GO:0097305","BP","GO:0097305","response to alcohol","1/127","233/18862",0.794829778501481,0.837209620324352,0.778057157924525,"PTGFR",1
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","2/127","437/18862",0.796606508779509,0.837767283502458,0.778575419799333,"AGPAT1/WNT3A",2
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","2/127","437/18862",0.796606508779509,0.837767283502458,0.778575419799333,"WNT3A/AFDN",2
"GO:0062012","BP","GO:0062012","regulation of small molecule metabolic process","2/127","437/18862",0.796606508779509,0.837767283502458,0.778575419799333,"ERFE/AKT2",2
"GO:0031668","BP","GO:0031668","cellular response to extracellular stimulus","1/127","235/18862",0.797617742912058,0.838393193514761,0.779157106575819,"SLC38A3",1
"GO:0031348","BP","GO:0031348","negative regulation of defense response","1/127","236/18862",0.798997597244488,0.839405713476352,0.780098087644995,"PCBP2",1
"GO:0006605","BP","GO:0006605","protein targeting","2/127","441/18862",0.800762340533776,0.84082132161311,0.781413676975172,"AKT2/USP9X",2
"GO:0009636","BP","GO:0009636","response to toxic substance","1/127","239/18862",0.803081404297527,0.842378464164246,0.782860800704294,"SCFD1",1
"GO:0038093","BP","GO:0038093","Fc receptor signaling pathway","1/127","239/18862",0.803081404297527,0.842378464164246,0.782860800704294,"ARPC2",1
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity","2/127","444/18862",0.803830094322806,0.842725098886813,0.783182944192054,"PRKCB/WNT3A",2
"GO:0006323","BP","GO:0006323","DNA packaging","1/127","240/18862",0.804424295435057,0.842909493136578,0.783354310194579,"ATRX",1
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","1/127","243/18862",0.808398694876456,0.846633768282775,0.786815449275202,"AKT2",1
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","1/127","245/18862",0.811003671080302,0.848479957023265,0.788531196836562,"ROCK1",1
"GO:0045926","BP","GO:0045926","negative regulation of growth","1/127","245/18862",0.811003671080302,0.848479957023265,0.788531196836562,"WNT3A",1
"GO:0051896","BP","GO:0051896","regulation of protein kinase B signaling","1/127","247/18862",0.813573505612453,0.850726836434402,0.790619324548414,"PLEKHA1",1
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","2/127","455/18862",0.814725486674841,0.851489551685584,0.791328150684944,"WNT3A/ROCK1",2
"GO:0051346","BP","GO:0051346","negative regulation of hydrolase activity","2/127","456/18862",0.815688933505617,0.852054536554597,0.791853216941689,"PXK/ROCK1",2
"GO:0048863","BP","GO:0048863","stem cell differentiation","1/127","251/18862",0.818609624841542,0.853777636674797,0.793454572623463,"WNT3A",1
"GO:0071560","BP","GO:0071560","cellular response to transforming growth factor beta stimulus","1/127","251/18862",0.818609624841542,0.853777636674797,0.793454572623463,"USP9X",1
"GO:1901617","BP","GO:1901617","organic hydroxy compound biosynthetic process","1/127","251/18862",0.818609624841542,0.853777636674797,0.793454572623463,"MFSD12",1
"GO:0007409","BP","GO:0007409","axonogenesis","2/127","460/18862",0.819498476591761,0.854262509225245,0.793905186841693,"WNT3A/USP9X",2
"GO:0006869","BP","GO:0006869","lipid transport","2/127","461/18862",0.820439878834632,0.854801631774448,0.794406218062815,"ERFE/AKT2",2
"GO:0045927","BP","GO:0045927","positive regulation of growth","1/127","253/18862",0.82107683159613,0.855023160551009,0.794612094878017,"WNT3A",1
"GO:0008544","BP","GO:0008544","epidermis development","2/127","463/18862",0.822309611528923,0.855864600842345,0.795394083791841,"INTU/ROCK1",2
"GO:0010466","BP","GO:0010466","negative regulation of peptidase activity","1/127","257/18862",0.825911798789047,0.858726663859613,0.798053929740761,"ROCK1",1
"GO:0032412","BP","GO:0032412","regulation of ion transmembrane transporter activity","1/127","257/18862",0.825911798789047,0.858726663859613,0.798053929740761,"UTRN",1
"GO:0016054","BP","GO:0016054","organic acid catabolic process","1/127","258/18862",0.827100146091051,0.859075667202819,0.79837827449592,"AKT2",1
"GO:0045637","BP","GO:0045637","regulation of myeloid cell differentiation","1/127","258/18862",0.827100146091051,0.859075667202819,0.79837827449592,"PRKCB",1
"GO:0016049","BP","GO:0016049","cell growth","2/127","470/18862",0.828718045519132,0.860189032739107,0.799412975965977,"WNT3A/USP9X",2
"GO:0051607","BP","GO:0051607","defense response to virus","1/127","260/18862",0.829452749683417,0.860189032739107,0.799412975965977,"PCBP2",1
"GO:0140546","BP","GO:0140546","defense response to symbiont","1/127","260/18862",0.829452749683417,0.860189032739107,0.799412975965977,"PCBP2",1
"GO:0051403","BP","GO:0051403","stress-activated MAPK cascade","1/127","261/18862",0.830617113772773,0.860953438401306,0.800123373078711,"TPD52L1",1
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","2/127","473/18862",0.831400856832271,0.861322738569165,0.800466580600519,"ROCK1/ZFAND5",2
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development","1/127","263/18862",0.83292223334591,0.862455447169583,0.801519258463988,"WNT3A",1
"GO:0009165","BP","GO:0009165","nucleotide biosynthetic process","1/127","264/18862",0.834063094487104,0.863193187155375,0.802204873945102,"GARS1",1
"GO:1901293","BP","GO:1901293","nucleoside phosphate biosynthetic process","1/127","267/18862",0.837439509901489,0.866242614194815,0.805038845841753,"GARS1",1
"GO:0021700","BP","GO:0021700","developmental maturation","1/127","268/18862",0.838549764391541,0.866501423204592,0.805279368881269,"FAT4",1
"GO:0022898","BP","GO:0022898","regulation of transmembrane transporter activity","1/127","268/18862",0.838549764391541,0.866501423204592,0.805279368881269,"UTRN",1
"GO:0043312","BP","GO:0043312","neutrophil degranulation","2/127","485/18862",0.841760267081278,0.868560528138152,0.807192989190425,"ROCK1/CEP290",2
"GO:0015850","BP","GO:0015850","organic hydroxy compound transport","1/127","271/18862",0.841835588810824,0.868560528138152,0.807192989190425,"SLC2A13",1
"GO:1903532","BP","GO:1903532","positive regulation of secretion by cell","1/127","271/18862",0.841835588810824,0.868560528138152,0.807192989190425,"PDCD6IP",1
"GO:0043491","BP","GO:0043491","protein kinase B signaling","1/127","273/18862",0.843989190813464,0.869725115443079,0.808275293390747,"PLEKHA1",1
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","1/127","273/18862",0.843989190813464,0.869725115443079,0.808275293390747,"FAT4",1
"GO:0002283","BP","GO:0002283","neutrophil activation involved in immune response","2/127","488/18862",0.844259218762612,0.869725115443079,0.808275293390747,"ROCK1/CEP290",2
"GO:0030522","BP","GO:0030522","intracellular receptor signaling pathway","1/127","274/18862",0.84505505625898,0.870100121799614,0.808623803934446,"ASXL1",1
"GO:0031098","BP","GO:0031098","stress-activated protein kinase signaling cascade","1/127","276/18862",0.847165160618926,0.871827272036331,0.810228923574577,"TPD52L1",1
"GO:0007411","BP","GO:0007411","axon guidance","1/127","277/18862",0.84820949638786,0.872456424309106,0.810813623531879,"WNT3A",1
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","1/127","281/18862",0.852316511684202,0.876233556654932,0.814323885223521,"SH3PXD2A",1
"GO:0002446","BP","GO:0002446","neutrophil mediated immunity","2/127","499/18862",0.853121037135683,0.876513182542287,0.814583754338633,"ROCK1/CEP290",2
"GO:0042119","BP","GO:0042119","neutrophil activation","2/127","500/18862",0.853903650746877,0.876513182542287,0.814583754338633,"ROCK1/CEP290",2
"GO:0032409","BP","GO:0032409","regulation of transporter activity","1/127","283/18862",0.854328481644194,0.876513182542287,0.814583754338633,"UTRN",1
"GO:0097193","BP","GO:0097193","intrinsic apoptotic signaling pathway","1/127","283/18862",0.854328481644194,0.876513182542287,0.814583754338633,"ATM",1
"GO:0046942","BP","GO:0046942","carboxylic acid transport","1/127","284/18862",0.855324244754759,0.877088220448264,0.81511816334202,"SLC38A3",1
"GO:0060485","BP","GO:0060485","mesenchyme development","1/127","287/18862",0.858271194672886,0.879662490979585,0.817510550582569,"WNT3A",1
"GO:0051047","BP","GO:0051047","positive regulation of secretion","1/127","295/18862",0.86584175806025,0.886970585913271,0.824302297160616,"PDCD6IP",1
"GO:0090287","BP","GO:0090287","regulation of cellular response to growth factor stimulus","1/127","296/18862",0.866759412863198,0.88745945981674,0.824756630019057,"PRKCB",1
"GO:0034599","BP","GO:0034599","cellular response to oxidative stress","1/127","299/18862",0.869475178188462,0.88978795533253,0.826920607306554,"PLEKHA1",1
"GO:0071496","BP","GO:0071496","cellular response to external stimulus","1/127","303/18862",0.873010948029891,0.892952822477275,0.829861862968302,"SLC38A3",1
"GO:0007568","BP","GO:0007568","aging","1/127","304/18862",0.873879939333313,0.893388167304224,0.830266448809829,"ATM",1
"GO:0090305","BP","GO:0090305","nucleic acid phosphodiester bond hydrolysis","1/127","305/18862",0.874743030598787,0.893817041915089,0.830665021583881,"KPNA1",1
"GO:0060326","BP","GO:0060326","cell chemotaxis","1/127","306/18862",0.875600261568985,0.894239496736697,0.831057628154413,"LPAR1",1
"GO:0043010","BP","GO:0043010","camera-type eye development","1/127","310/18862",0.878971368092036,0.897227612312793,0.833834620506443,"PAX6",1
"GO:0046034","BP","GO:0046034","ATP metabolic process","1/127","313/18862",0.881440073146527,0.899292023995064,0.835753172619679,"CDK1",1
"GO:0016607","CC","GO:0016607","nuclear speck","10/137","411/19520",0.000655440591668799,0.101976702672322,0.095365608552838,"SRRM1/TCERG1/PNISR/AFDN/WAC/RADX/PRPF40A/SRPK2/API5/TRIP12",10
"GO:0005938","CC","GO:0005938","cell cortex","8/137","301/19520",0.00130743879258334,0.101976702672322,0.095365608552838,"EMD/PRKCB/FSCN1/SPIRE2/AKT2/FNBP1L/DST/UTRN",8
"GO:0010494","CC","GO:0010494","cytoplasmic stress granule","4/137","73/19520",0.0017376754276463,0.101976702672322,0.095365608552838,"CIRBP/ROCK1/TIA1/UBAP2L",4
"GO:0042641","CC","GO:0042641","actomyosin","4/137","74/19520",0.001827092026749,0.101976702672322,0.095365608552838,"FSCN1/PDCD6IP/NEBL/TPM4",4
"GO:0005832","CC","GO:0005832","chaperonin-containing T-complex","2/137","11/19520",0.00258023396624268,0.101976702672322,0.095365608552838,"CCT5/TCP1",2
"GO:0000123","CC","GO:0000123","histone acetyltransferase complex","4/137","84/19520",0.00290321673479201,0.101976702672322,0.095365608552838,"BRD8/USP22/MORF4L2/UBAP2L",4
"GO:0031248","CC","GO:0031248","protein acetyltransferase complex","4/137","94/19520",0.0043483229187209,0.101976702672322,0.095365608552838,"BRD8/USP22/MORF4L2/UBAP2L",4
"GO:1902493","CC","GO:1902493","acetyltransferase complex","4/137","94/19520",0.0043483229187209,0.101976702672322,0.095365608552838,"BRD8/USP22/MORF4L2/UBAP2L",4
"GO:0031519","CC","GO:0031519","PcG protein complex","3/137","47/19520",0.00437668251812541,0.101976702672322,0.095365608552838,"ASXL1/SUZ12/UBAP2L",3
"GO:1902562","CC","GO:1902562","H4 histone acetyltransferase complex","3/137","47/19520",0.00437668251812541,0.101976702672322,0.095365608552838,"BRD8/MORF4L2/UBAP2L",3
"GO:0001726","CC","GO:0001726","ruffle","5/137","175/19520",0.00790027133868597,0.160238156357646,0.149850003912504,"TRPM7/FSCN1/AKT2/PLEKHA1/ROCK1",5
"GO:0035267","CC","GO:0035267","NuA4 histone acetyltransferase complex","2/137","21/19520",0.00941004047387426,0.160238156357646,0.149850003912504,"BRD8/MORF4L2",2
"GO:0043189","CC","GO:0043189","H4/H2A histone acetyltransferase complex","2/137","21/19520",0.00941004047387426,0.160238156357646,0.149850003912504,"BRD8/MORF4L2",2
"GO:0001725","CC","GO:0001725","stress fiber","3/137","64/19520",0.0103157611389042,0.160238156357646,0.149850003912504,"FSCN1/NEBL/TPM4",3
"GO:0097517","CC","GO:0097517","contractile actin filament bundle","3/137","64/19520",0.0103157611389042,0.160238156357646,0.149850003912504,"FSCN1/NEBL/TPM4",3
"GO:0032432","CC","GO:0032432","actin filament bundle","3/137","73/19520",0.0147144261944388,0.21235694962659,0.198589964186601,"FSCN1/NEBL/TPM4",3
"GO:0002102","CC","GO:0002102","podosome","2/137","28/19520",0.016405257911067,0.21235694962659,0.198589964186601,"FSCN1/SH3PXD2A",2
"GO:0101031","CC","GO:0101031","chaperone complex","2/137","28/19520",0.016405257911067,0.21235694962659,0.198589964186601,"CCT5/TCP1",2
"GO:0070971","CC","GO:0070971","endoplasmic reticulum exit site","2/137","33/19520",0.0223997817560274,0.274692060481809,0.256883923739483,"PDCD6IP/TFG",2
"GO:0031252","CC","GO:0031252","cell leading edge","7/137","411/19520",0.0260778315900863,0.303806738024505,0.28411111258673,"TRPM7/FSCN1/ARPC2/AKT2/PLEKHA1/ROCK1/DST",7
"GO:0005874","CC","GO:0005874","microtubule","7/137","423/19520",0.0298445701912297,0.331132612121739,0.309665465142083,"EMD/MTUS2/CCT5/DST/TCP1/CSPP1/CDK1",7
"GO:0031253","CC","GO:0031253","cell projection membrane","6/137","337/19520",0.0317691973749338,0.336464681289072,0.314651859168005,"FSCN1/ARPC2/AKT2/TAS2R4/PLEKHA1/UTRN",6
"GO:0000307","CC","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","2/137","43/19520",0.0366116566847955,0.358097556803895,0.334882287139853,"CCNT2/CDK1",2
"GO:0030426","CC","GO:0030426","growth cone","4/137","178/19520",0.0368855852501867,0.358097556803895,0.334882287139853,"FSCN1/SLC2A13/UTRN/USP9X",4
"GO:0030427","CC","GO:0030427","site of polarized growth","4/137","184/19520",0.0408533465944936,0.38075319026068,0.35606916821306,"FSCN1/SLC2A13/UTRN/USP9X",4
"GO:0005681","CC","GO:0005681","spliceosomal complex","4/137","191/19520",0.0457777189720086,0.4046582417845,0.378424468260183,"CIRBP/SRRM1/PRPF40A/API5",4
"GO:0150034","CC","GO:0150034","distal axon","5/137","287/19520",0.0519706848308776,0.4046582417845,0.378424468260183,"PRKCB/FSCN1/SLC2A13/UTRN/USP9X",5
"GO:0008023","CC","GO:0008023","transcription elongation factor complex","2/137","56/19520",0.0588899112025359,0.4046582417845,0.378424468260183,"MMS22L/CCNT2",2
"GO:0005637","CC","GO:0005637","nuclear inner membrane","2/137","60/19520",0.0664834611818839,0.4046582417845,0.378424468260183,"EMD/DPY19L3",2
"GO:0018995","CC","GO:0018995","host cellular component","2/137","60/19520",0.0664834611818839,0.4046582417845,0.378424468260183,"KPNA1/XPO1",2
"GO:0043657","CC","GO:0043657","host cell","2/137","60/19520",0.0664834611818839,0.4046582417845,0.378424468260183,"KPNA1/XPO1",2
"GO:0070938","CC","GO:0070938","contractile ring","1/137","10/19520",0.0680239638257375,0.4046582417845,0.378424468260183,"UTRN",1
"GO:0001650","CC","GO:0001650","fibrillar center","3/137","139/19520",0.0745525928287157,0.4046582417845,0.378424468260183,"SMUG1/WDR33/DEAF1",3
"GO:0000835","CC","GO:0000835","ER ubiquitin ligase complex","1/137","11/19520",0.0745683368116868,0.4046582417845,0.378424468260183,"MARCHF6",1
"GO:0032797","CC","GO:0032797","SMN complex","1/137","11/19520",0.0745683368116868,0.4046582417845,0.378424468260183,"DDX20",1
"GO:0099523","CC","GO:0099523","presynaptic cytosol","1/137","11/19520",0.0745683368116868,0.4046582417845,0.378424468260183,"PRKCB",1
"GO:0005657","CC","GO:0005657","replication fork","2/137","65/19520",0.076402042395966,0.4046582417845,0.378424468260183,"MMS22L/RADX",2
"GO:0005814","CC","GO:0005814","centriole","3/137","141/19520",0.0770782960784196,0.4046582417845,0.378424468260183,"CEP83/ROCK1/CEP290",3
"GO:0000812","CC","GO:0000812","Swr1 complex","1/137","12/19520",0.0810670880473628,0.4046582417845,0.378424468260183,"BRD8",1
"GO:0019908","CC","GO:0019908","nuclear cyclin-dependent protein kinase holoenzyme complex","1/137","12/19520",0.0810670880473628,0.4046582417845,0.378424468260183,"CCNT2",1
"GO:0042555","CC","GO:0042555","MCM complex","1/137","12/19520",0.0810670880473628,0.4046582417845,0.378424468260183,"MMS22L",1
"GO:0097504","CC","GO:0097504","Gemini of coiled bodies","1/137","12/19520",0.0810670880473628,0.4046582417845,0.378424468260183,"DDX20",1
"GO:0036464","CC","GO:0036464","cytoplasmic ribonucleoprotein granule","4/137","234/19520",0.0828932613104446,0.4046582417845,0.378424468260183,"CIRBP/ROCK1/TIA1/UBAP2L",4
"GO:0036038","CC","GO:0036038","MKS complex","1/137","13/19520",0.0875205332461281,0.4046582417845,0.378424468260183,"CEP290",1
"GO:0044214","CC","GO:0044214","spanning component of plasma membrane","1/137","13/19520",0.0875205332461281,0.4046582417845,0.378424468260183,"TM2D3",1
"GO:0000792","CC","GO:0000792","heterochromatin","2/137","72/19520",0.091006659850166,0.4046582417845,0.378424468260183,"ATRX/TCP1",2
"GO:0035770","CC","GO:0035770","ribonucleoprotein granule","4/137","244/19520",0.0931513158708661,0.4046582417845,0.378424468260183,"CIRBP/ROCK1/TIA1/UBAP2L",4
"GO:0000124","CC","GO:0000124","SAGA complex","1/137","14/19520",0.0939289859526062,0.4046582417845,0.378424468260183,"USP22",1
"GO:0070603","CC","GO:0070603","SWI/SNF superfamily-type complex","2/137","74/19520",0.0953195361715969,0.4046582417845,0.378424468260183,"BRD8/ARID1B",2
"GO:0098687","CC","GO:0098687","chromosomal region","5/137","345/19520",0.0960579727889393,0.4046582417845,0.378424468260183,"ATM/TRAPPC12/ATRX/XPO1/CDK1",5
"GO:0000228","CC","GO:0000228","nuclear chromosome","4/137","250/19520",0.0995833719674564,0.4046582417845,0.378424468260183,"BRD8/MMS22L/ATRX/HDAC8",4
"GO:0005671","CC","GO:0005671","Ada2/Gcn5/Ada3 transcription activator complex","1/137","15/19520",0.100292757557471,0.4046582417845,0.378424468260183,"UBAP2L",1
"GO:0031616","CC","GO:0031616","spindle pole centrosome","1/137","15/19520",0.100292757557471,0.4046582417845,0.378424468260183,"EMD",1
"GO:0071565","CC","GO:0071565","nBAF complex","1/137","15/19520",0.100292757557471,0.4046582417845,0.378424468260183,"ARID1B",1
"GO:0000118","CC","GO:0000118","histone deacetylase complex","2/137","77/19520",0.101896198206824,0.4046582417845,0.378424468260183,"BRD8/HDAC8",2
"GO:0030864","CC","GO:0030864","cortical actin cytoskeleton","2/137","78/19520",0.104115834601958,0.4046582417845,0.378424468260183,"PRKCB/UTRN",2
"GO:0000781","CC","GO:0000781","chromosome, telomeric region","3/137","161/19520",0.104307425423147,0.4046582417845,0.378424468260183,"ATM/ATRX/CDK1",3
"GO:0035098","CC","GO:0035098","ESC/E(Z) complex","1/137","16/19520",0.10661215731213,0.4046582417845,0.378424468260183,"SUZ12",1
"GO:0044305","CC","GO:0044305","calyx of Held","1/137","16/19520",0.10661215731213,0.4046582417845,0.378424468260183,"PRKCB",1
"GO:0005635","CC","GO:0005635","nuclear envelope","6/137","462/19520",0.107116131745618,0.4046582417845,0.378424468260183,"EMD/DPY19L3/KPNA1/DST/XPO1/DNAJB14",6
"GO:0000153","CC","GO:0000153","cytoplasmic ubiquitin ligase complex","1/137","17/19520",0.112887492343316,0.4046582417845,0.378424468260183,"MARCHF6",1
"GO:0030008","CC","GO:0030008","TRAPP complex","1/137","17/19520",0.112887492343316,0.4046582417845,0.378424468260183,"TRAPPC12",1
"GO:0071004","CC","GO:0071004","U2-type prespliceosome","1/137","17/19520",0.112887492343316,0.4046582417845,0.378424468260183,"PRPF40A",1
"GO:0071010","CC","GO:0071010","prespliceosome","1/137","17/19520",0.112887492343316,0.4046582417845,0.378424468260183,"PRPF40A",1
"GO:0097449","CC","GO:0097449","astrocyte projection","1/137","17/19520",0.112887492343316,0.4046582417845,0.378424468260183,"SLC2A13",1
"GO:0005847","CC","GO:0005847","mRNA cleavage and polyadenylation specificity factor complex","1/137","18/19520",0.119119067667572,0.407828514684304,0.381389214093747,"WDR33",1
"GO:0031527","CC","GO:0031527","filopodium membrane","1/137","18/19520",0.119119067667572,0.407828514684304,0.381389214093747,"UTRN",1
"GO:0016010","CC","GO:0016010","dystrophin-associated glycoprotein complex","1/137","19/19520",0.125307186205647,0.407828514684304,0.381389214093747,"UTRN",1
"GO:0016514","CC","GO:0016514","SWI/SNF complex","1/137","19/19520",0.125307186205647,0.407828514684304,0.381389214093747,"ARID1B",1
"GO:0034719","CC","GO:0034719","SMN-Sm protein complex","1/137","19/19520",0.125307186205647,0.407828514684304,0.381389214093747,"DDX20",1
"GO:0090665","CC","GO:0090665","glycoprotein complex","1/137","19/19520",0.125307186205647,0.407828514684304,0.381389214093747,"UTRN",1
"GO:1902554","CC","GO:1902554","serine/threonine protein kinase complex","2/137","89/19520",0.129341497081343,0.407828514684304,0.381389214093747,"CCNT2/CDK1",2
"GO:0000242","CC","GO:0000242","pericentriolar material","1/137","20/19520",0.131452148796787,0.407828514684304,0.381389214093747,"TCP1",1
"GO:0005721","CC","GO:0005721","pericentric heterochromatin","1/137","20/19520",0.131452148796787,0.407828514684304,0.381389214093747,"ATRX",1
"GO:0089717","CC","GO:0089717","spanning component of membrane","1/137","20/19520",0.131452148796787,0.407828514684304,0.381389214093747,"TM2D3",1
"GO:0000930","CC","GO:0000930","gamma-tubulin complex","1/137","21/19520",0.137554254212933,0.407828514684304,0.381389214093747,"CEP290",1
"GO:0032806","CC","GO:0032806","carboxy-terminal domain protein kinase complex","1/137","21/19520",0.137554254212933,0.407828514684304,0.381389214093747,"CCNT2",1
"GO:0099522","CC","GO:0099522","region of cytosol","1/137","21/19520",0.137554254212933,0.407828514684304,0.381389214093747,"PRKCB",1
"GO:0005849","CC","GO:0005849","mRNA cleavage factor complex","1/137","22/19520",0.143613799172819,0.407828514684304,0.381389214093747,"WDR33",1
"GO:0005865","CC","GO:0005865","striated muscle thin filament","1/137","22/19520",0.143613799172819,0.407828514684304,0.381389214093747,"TPM4",1
"GO:0035371","CC","GO:0035371","microtubule plus-end","1/137","22/19520",0.143613799172819,0.407828514684304,0.381389214093747,"DST",1
"GO:0032587","CC","GO:0032587","ruffle membrane","2/137","95/19520",0.143643706298898,0.407828514684304,0.381389214093747,"AKT2/PLEKHA1",2
"GO:0046930","CC","GO:0046930","pore complex","1/137","23/19520",0.149631078355983,0.407828514684304,0.381389214093747,"AFDN",1
"GO:0071782","CC","GO:0071782","endoplasmic reticulum tubular network","1/137","23/19520",0.149631078355983,0.407828514684304,0.381389214093747,"EMD",1
"GO:0031965","CC","GO:0031965","nuclear membrane","4/137","295/19520",0.153853309341434,0.407828514684304,0.381389214093747,"EMD/DPY19L3/XPO1/DNAJB14",4
"GO:0000775","CC","GO:0000775","chromosome, centromeric region","3/137","196/19520",0.159345599979508,0.407828514684304,0.381389214093747,"TRAPPC12/ATRX/XPO1",3
"GO:0030027","CC","GO:0030027","lamellipodium","3/137","196/19520",0.159345599979508,0.407828514684304,0.381389214093747,"FSCN1/ARPC2/ROCK1",3
"GO:0097346","CC","GO:0097346","INO80-type complex","1/137","25/19520",0.161540007997658,0.407828514684304,0.381389214093747,"BRD8",1
"GO:0016605","CC","GO:0016605","PML body","2/137","103/19520",0.163192249408899,0.407828514684304,0.381389214093747,"ATRX/ZMYM2",2
"GO:0030175","CC","GO:0030175","filopodium","2/137","103/19520",0.163192249408899,0.407828514684304,0.381389214093747,"FSCN1/UTRN",2
"GO:1904949","CC","GO:1904949","ATPase complex","2/137","103/19520",0.163192249408899,0.407828514684304,0.381389214093747,"BRD8/ARID1B",2
"GO:0030863","CC","GO:0030863","cortical cytoskeleton","2/137","104/19520",0.165669088719781,0.407828514684304,0.381389214093747,"PRKCB/UTRN",2
"GO:1902911","CC","GO:1902911","protein kinase complex","2/137","104/19520",0.165669088719781,0.407828514684304,0.381389214093747,"CCNT2/CDK1",2
"GO:0036379","CC","GO:0036379","myofilament","1/137","26/19520",0.167432237743968,0.407828514684304,0.381389214093747,"TPM4",1
"GO:0005925","CC","GO:0005925","focal adhesion","5/137","416/19520",0.168870927045597,0.407828514684304,0.381389214093747,"PDCD6IP/ARPC2/PCBP2/DST/TPM4",5
"GO:0030017","CC","GO:0030017","sarcomere","3/137","203/19520",0.171267451983111,0.407828514684304,0.381389214093747,"NEBL/DST/TPM4",3
"GO:0034451","CC","GO:0034451","centriolar satellite","2/137","107/19520",0.173138705857844,0.407828514684304,0.381389214093747,"PXK/CEP290",2
"GO:0005640","CC","GO:0005640","nuclear outer membrane","1/137","27/19520",0.173283360316507,0.407828514684304,0.381389214093747,"EMD",1
"GO:0044322","CC","GO:0044322","endoplasmic reticulum quality control compartment","1/137","27/19520",0.173283360316507,0.407828514684304,0.381389214093747,"MARCHF6",1
"GO:0030055","CC","GO:0030055","cell-substrate junction","5/137","423/19520",0.177007112264807,0.409106106612786,0.38258398043301,"PDCD6IP/ARPC2/PCBP2/DST/TPM4",5
